SYMBOL,NAME_OF_COMPANY,P/E Ratio,Debt-to-Equity,ROE (%),Earnings Growth,Market Cap,Sector,Industry
ECLERX,eClerx Services Limited,23.58419,14.133,,0.012,118575726592.0,Technology,Information Technology Services
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,18.485,10.872,,-0.097,11091000320.0,Industrials,Rental & Leasing Services
EDELWEISS,Edelweiss Financial Services Limited,14.381426,318.382,,0.209,80115580928.0,Financial Services,Financial Conglomerates
EICHERMOT,Eicher Motors Limited,30.960243,2.128,,0.174,1374930862080.0,Consumer Cyclical,Auto Manufacturers
EIDPARRY,EID Parry India Limited,15.220346,14.341,,0.646,123538448384.0,Basic Materials,Agricultural Inputs
EIEL,Enviro Infra Engineers Limited,21.051725,105.348,,0.962,34291539968.0,Industrials,Engineering & Construction
EIFFL,Euro India Fresh Foods Limited,200.15909,56.717,,0.651,4368271872.0,Consumer Defensive,Packaged Foods
EIHAHOTELS,EIH Associated Hotels Limited,24.693047,0.916,,0.054,20398436352.0,Consumer Cyclical,Lodging
EIHOTEL,EIH Limited,31.638765,4.716,,0.205,224568197120.0,Consumer Cyclical,Lodging
EIMCOELECO,Eimco Elecon (India) Limited,16.778214,0.191,,-0.18,8002481664.0,Industrials,Farm & Heavy Construction Machinery
EKC,Everest Kanto Cylinder Limited,12.992073,14.383,,-0.506,12872502272.0,Industrials,Specialty Industrial Machinery
ELDEHSG,Eldeco Housing And Industries Limited,23.203611,29.593,,-0.288,6951928832.0,Real Estate,Real Estate Services
ELECON,Elecon Engineering Company Limited,23.588661,6.726,,0.189,87774183424.0,Industrials,Specialty Industrial Machinery
ELECTCAST,Electrosteel Castings Limited,7.684591,35.375,,-0.411,59240620032.0,Industrials,Building Products & Equipment
ELECTHERM,Electrotherm (India) Limited,2.5201342,,,-0.175,9111113728.0,Basic Materials,Steel
ELGIEQUIP,Elgi Equipments Limited,43.310547,30.267,,-0.039,140428509184.0,Industrials,Specialty Industrial Machinery
ELGIRUBCO,Elgi Rubber Company Limited,22.888447,131.633,,,2875372544.0,Consumer Cyclical,Auto Parts
ELIN,Elin Electronics Limited,35.8681,1.406,,-0.473,5806650368.0,Industrials,Electrical Equipment & Parts
EMAMILTD,Emami Limited,30.955399,2.831,,0.079,245378482176.0,Consumer Defensive,Household & Personal Products
EMAMIPAP,Emami Paper Mills Limited,14.254839,79.23,,-0.957,5353556480.0,Basic Materials,Paper & Paper Products
EMAMIREAL,Emami Realty Limited,,,,,3186456320.0,Real Estate,Real Estate - Development
EMBDL,Embassy Developments Limited,,7.995,,,129262223360.0,Real Estate,Real Estate - Diversified
EMCURE,Emcure Pharmaceuticals Limited,28.900312,27.624,,0.295,175736061952.0,Healthcare,Drug Manufacturers - Specialty & Generic
EMIL,Electronics Mart India Limited,26.507975,101.426,,-0.311,44773240832.0,Consumer Cyclical,Specialty Retail
EMKAY,Emkay Global Financial Services Limited,7.860916,11.002,,-0.322,4478055936.0,Financial Services,Capital Markets
EMMBI,Emmbi Industries Limited,17.98012,80.39,,-0.299,1670752384.0,Consumer Cyclical,Packaging & Containers
EMSLIMITED,EMS Limited,18.049221,8.855,,0.234,33396224000.0,Industrials,Engineering & Construction
EMUDHRA,eMudhra Limited,83.3434,,,-0.019,68534956032.0,Technology,Software - Application
ENDURANCE,Endurance Technologies Limited,33.447155,14.365,,0.211,267984125952.0,Consumer Cyclical,Auto Parts
ENERGYDEV,Energy Development Company Limited,,150.401,,,825075008.0,Utilities,Utilities - Regulated Electric
ENGINERSIN,Engineers India Limited,21.82162,1.221,,0.717,90758537216.0,Industrials,Engineering & Construction
ENIL,Entertainment Network (India) Limited,74.50877,22.772,,-0.614,6073686016.0,Communication Services,Broadcasting
ENTERO,Entero Healthcare Solutions Limited,56.824783,20.965,,2.058,51078041600.0,Healthcare,Medical Distribution
EPACK,EPACK Durable Limited,73.04671,53.566,,-0.581,33017683968.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
EPIGRAL,Epigral Limited,21.833996,64.014,,1.053,78327341056.0,Basic Materials,Chemicals
EPL,EPL Limited,22.63669,38.29,,0.081,60329730048.0,Consumer Cyclical,Packaging & Containers
EQUIPPP,Equippp Social Impact Technologies Limited,,128.006,,,2216542464.0,Basic Materials,Agricultural Inputs
EQUITASBNK,Equitas Small Finance Bank Limited,20.985348,18.247,,-0.672,65405132800.0,Financial Services,Banks - Regional
ERIS,Eris Lifesciences Limited,51.80636,86.078,,-0.186,171075125248.0,Healthcare,Drug Manufacturers - Specialty & Generic
ESABINDIA,Esab India Limited,38.911682,1.226,,0.064,67015200768.0,Industrials,Tools & Accessories
ESAFSFB,ESAF Small Finance Bank Limited,,,,,13694068736.0,Financial Services,Banks - Regional
ESCORTS,Escorts Kubota Limited,26.316505,1.015,,0.114,320028082176.0,Industrials,Farm & Heavy Construction Machinery
ESSARSHPNG,Essar Shipping Limited,0.8840942,,,,5219931136.0,Industrials,Marine Shipping
ESSENTIA,Integra Essentia Limited,26.777777,6.885,,-0.094,2573133056.0,Consumer Defensive,Food Distribution
ESTER,Ester Industries Limited,,104.575,,,10954941440.0,Basic Materials,Specialty Chemicals
ETHOSLTD,Ethos Limited,63.697407,19.352,,0.112,60034510848.0,Consumer Cyclical,Luxury Goods
EUREKAFORB,Eureka Forbes Limited,73.03546,1.823,,0.534,99941580800.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
EUROTEXIND,Eurotex Industries and Exports Limited,,,,,116285704.0,Real Estate,Real Estate - Development
EVEREADY,Eveready Industries India Limited,27.386364,65.082,,0.552,21907955712.0,Industrials,Electrical Equipment & Parts
EVERESTIND,Everest Industries Limited,,49.791,,,7590387712.0,Industrials,Building Products & Equipment
EXCEL,Excel Realty N Infra Limited,39.500004,0.251,,0.893,1114452992.0,Industrials,Conglomerates
EXCELINDUS,Excel Industries Limited,14.305906,0.867,,1.315,11387168768.0,Basic Materials,Specialty Chemicals
EXICOM,Exicom Tele-Systems Limited,,84.952,,,16458781696.0,Industrials,Electrical Equipment & Parts
EXIDEIND,Exide Industries Limited,35.729614,13.489,,-0.22,283134918656.0,Consumer Cyclical,Auto Parts
EXPLEOSOL,Expleo Solutions Limited,13.813185,4.9,,-0.419,13144437760.0,Technology,Information Technology Services
EXXARO,Exxaro Tiles Limited,,37.801,,1.0,3131877120.0,Industrials,Building Products & Equipment
FACT,Fertilizers and Chemicals Travancore Limited,,138.861,,-0.745,387790077952.0,Basic Materials,Agricultural Inputs
FAIRCHEMOR,Fairchem Organics Limited,40.15324,14.877,,-0.715,13310656512.0,Basic Materials,Specialty Chemicals
FAZE3Q,Faze Three Limited,27.318457,43.786,,-0.302,8782807040.0,Consumer Cyclical,Textile Manufacturing
FCL,Fineotex Chemical Limited,21.01144,0.056,,-0.176,25275295744.0,Basic Materials,Specialty Chemicals
FCSSOFT,FCS Software Solutions Limited,265.00003,,,,4530307584.0,Technology,Information Technology Services
FDC,FDC Limited,23.365213,0.878,,-0.531,63642427392.0,Healthcare,Drug Manufacturers - Specialty & Generic
FEDERALBNK,The Federal Bank  Limited,10.807834,,,-0.097,433462968320.0,Financial Services,Banks - Regional
FEDFINA,Fedbank Financial Services Limited,14.453782,415.97,,-0.735,32051855360.0,Financial Services,Credit Services
FEL,Future Enterprises Limited,,,-238.273,,281753856.0,Consumer Cyclical,Department Stores
FELDVR,Future Enterprises Limited,,,-238.273,,281753856.0,Consumer Cyclical,Department Stores
FIBERWEB,Fiberweb (India) Limited,8.417911,4.727,,1.278,1139862656.0,Consumer Cyclical,Textile Manufacturing
FIEMIND,Fiem Industries Limited,18.116438,2.427,,0.16,34807803904.0,Consumer Cyclical,Auto Parts
FILATEX,Filatex India Limited,12.665505,17.747,,0.342,16138599424.0,Consumer Cyclical,Textile Manufacturing
FILATFASH,Filatex Fashions Limited,,2.41,,0.176,4417056768.0,Consumer Cyclical,Apparel Manufacturing
FINCABLES,Finolex Cables Limited,17.543995,0.358,,-0.024,121976504320.0,Industrials,Electrical Equipment & Parts
FINEORG,Fine Organic Industries Limited,27.0266,0.17,,-0.122,115569803264.0,Basic Materials,Specialty Chemicals
FINOPB,Fino Payments Bank Limited,19.878786,,,0.007,18561032192.0,Financial Services,Banks - Regional
FINPIPE,Finolex Industries Limited,13.515456,5.437,,-0.013,108136931328.0,Industrials,Building Products & Equipment
FIRSTCRY,Brainbees Solutions Limited,,29.593,,,181177696256.0,Consumer Cyclical,Internet Retail
FIVESTAR,Five-Star Business Finance Limited,18.588167,120.21,,0.269,191572066304.0,Financial Services,Credit Services
FLAIR,Flair Writing Industries Limited,17.08703,5.403,,0.418,21520605184.0,Industrials,Business Equipment & Supplies
FLEXITUFF,Flexituff Ventures International Limited,0.3176843,890.146,,,1152736640.0,Consumer Cyclical,Textile Manufacturing
FLFL,Future Lifestyle Fashions Limited,,,,,312751264.0,Consumer Cyclical,Apparel Manufacturing
FLUOROCHEM,Gujarat Fluorochemicals Limited,92.59826,35.494,,0.573,421829509120.0,Basic Materials,Specialty Chemicals
FMGOETZE,Federal-Mogul Goetze (India) Limited.,12.835733,0.566,,0.182,18361370624.0,Consumer Cyclical,Auto Parts
FMNL,Future Market Networks Limited,1.1623037,102.486,,-0.232,1078257536.0,Real Estate,Real Estate Services
FOCUS,Focus Lighting and Fixtures Limited,18.912676,10.51,,,4395024896.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
FOODSIN,Foods & Inns Limited,22.958565,92.141,,-0.833,6119846912.0,Consumer Defensive,Packaged Foods
FORCEMOT,FORCE MOTORS LTD,18.832367,8.946,,0.35,95542050816.0,Consumer Cyclical,Auto Manufacturers
FORTIS,Fortis Healthcare Limited,59.53294,13.592,,0.843,457089351680.0,Healthcare,Medical Care Facilities
FOSECOIND,Foseco India Limited,30.212263,0.527,23.183,0.199,22088849408.0,Basic Materials,Chemicals
FSC,Future Supply Chain Solutions Limited,,,,,86011880.0,Industrials,Integrated Freight & Logistics
FSL,Firstsource Solutions Limited,37.59627,57.758,,0.234,208847552512.0,Technology,Information Technology Services
FUSION,Fusion Finance Limited,,342.546,,,14212344832.0,Financial Services,Credit Services
GABRIEL,Gabriel India Limited,31.85,7.503,,0.456,73200984064.0,Consumer Cyclical,Auto Parts
GAEL,Gujarat Ambuja Exports Limited,15.111441,5.795,,-0.291,46646841344.0,Consumer Defensive,Packaged Foods
GAIL,GAIL (India) Limited,8.353252,23.366,,0.278,1038599651328.0,Utilities,Utilities - Regulated Gas
GALAPREC,Gala Precision Engineering Limited,42.54871,5.382,,-0.258,10259822592.0,Industrials,Specialty Industrial Machinery
GALAXYSURF,Galaxy Surfactants Limited,24.155972,6.584,,-0.095,74073939968.0,Basic Materials,Specialty Chemicals
GALLANTT,Gallantt Ispat Limited,19.835026,15.539,,1.191,75713912832.0,Basic Materials,Steel
GANDHAR,Gandhar Oil Refinery (India) Limited,16.958956,17.853,,-0.638,13344547840.0,Energy,Oil & Gas Refining & Marketing
GANDHITUBE,Gandhi Special Tubes Limited,14.728965,0.108,,0.148,8849086464.0,Industrials,Metal Fabrication
GANECOS,Ganesha Ecosphere Limited,32.57542,44.361,,1.01,33655515136.0,Consumer Cyclical,Textile Manufacturing
GANESHBE,Ganesh Benzoplast Limited,12.778142,11.342,,0.09,8417000448.0,Basic Materials,Specialty Chemicals
GANESHHOUC,Ganesh Housing Corporation Limited,15.220576,2.408,,0.6,83145277440.0,Real Estate,Real Estate - Development
GANGAFORGE,Ganga Forging Limited,171.66667,28.578,,0.0,694230336.0,Industrials,Metal Fabrication
GANGESSECU,Ganges Securities Limited,25.10595,,,-0.231,1351199872.0,Consumer Defensive,Packaged Foods
GARFIBRES,Garware Technical Fibres Limited,33.784313,12.99,,0.13,76965732352.0,Consumer Cyclical,Textile Manufacturing
GARUDA,Garuda Construction and Engineering Limited,26.017857,0.094,36.143002,,9489321984.0,Industrials,Engineering & Construction
GATECH,GACM Technologies Limited,13.400001,11.911,,2.784,572446016.0,Financial Services,Asset Management
GATECHDVR,GACM Technologies Limited,17.4,11.911,,2.784,572446080.0,Financial Services,Asset Management
GATEWAY,Gateway Distriparks Limited,4.6978245,24.085,,6.23,29159211008.0,Industrials,Integrated Freight & Logistics
GAYAHWS,Gayatri Highways Limited,,,,,225272880.0,Industrials,Infrastructure Operations
GAYAPROJ,Gayatri Projects Limited,,,,,1301032704.0,Industrials,Engineering & Construction
GEECEE,GeeCee Ventures Limited,13.281734,,,1.12,8260146176.0,Real Estate,Real Estate - Development
GEEKAYWIRE,Geekay Wires Limited,10.74224,74.637,32.719,-0.08,4159895808.0,Industrials,Electrical Equipment & Parts
GENCON,Generic Engineering Construction and Projects Limited,16.69325,24.213,3.483,0.233,1550594432.0,Industrials,Engineering & Construction
GENESYS,Genesys International Corporation Limited,53.457447,14.352,,0.228,28036726784.0,Technology,Software - Application
GENSOL,Gensol Engineering Limited,11.507239,228.07,,0.278,10082568192.0,Technology,Solar
GENUSPAPER,Genus Paper & Boards Limited,156.50002,73.444,,,4828826624.0,Basic Materials,Paper & Paper Products
GENUSPOWER,Genus Power Infrastructures Limited,31.54345,69.599,,,67216588800.0,Industrials,Electrical Equipment & Parts
GEOJITFSL,Geojit Financial Services Limited,9.527978,50.905,,-0.156,18558011392.0,Financial Services,Capital Markets
GEPIL,GE Power India Limited,,27.584,,,16234097664.0,Industrials,Engineering & Construction
GESHIP,The Great Eastern Shipping Company Limited,4.446372,20.654,,0.103,128076275712.0,Industrials,Marine Shipping
GFLLIMITED,GFL Limited,,,,2.0,5874797568.0,Financial Services,Asset Management
GHCL,GHCL Limited,9.832856,5.587,,0.685,59147739136.0,Basic Materials,Chemicals
GHCLTEXTIL,GHCL Textiles Limited,13.536764,0.994,,1.085,7038938112.0,Consumer Cyclical,Textile Manufacturing
GICHSGFIN,GIC Housing Finance Limited,4.8383503,461.214,,0.394,8655486976.0,Financial Services,Mortgage Finance
GICRE,General Insurance Corporation of India,8.976423,,9.083,0.166,674654519296.0,Financial Services,Insurance - Reinsurance
GILLANDERS,Gillanders Arbuthnot & Company Limited,4915.5,48.359,,,2098161408.0,Consumer Defensive,Farm Products
GILLETTE,Gillette India Limited,53.475716,0.005,44.821998,0.212,253327114240.0,Consumer Defensive,Household & Personal Products
GINNIFILA,Ginni Filaments Limited,,43.276,,,1785804160.0,Consumer Cyclical,Textile Manufacturing
GIPCL,Gujarat Industries Power Company Limited,11.732898,20.669,,-0.159,24396877824.0,Utilities,Utilities - Regulated Electric
GKWLIMITED,GKW Limited,,0.0,,,8778809344.0,Industrials,Specialty Business Services
GLAND,Gland Pharma Limited,36.362255,3.717,,0.066,256170868736.0,Healthcare,Drug Manufacturers - Specialty & Generic
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,52.36013,0.884,,4.026,450247262208.0,Healthcare,Drug Manufacturers - General
GLENMARK,Glenmark Pharmaceuticals Limited,,21.086,,,396516491264.0,Healthcare,Drug Manufacturers - Specialty & Generic
GLFL,Gujarat Lease Financing Limited,490.00003,,,-0.5,169264624.0,Financial Services,Shell Companies
GLOBAL,Global Education Limited,8.849387,,30.135,-0.334,2572052736.0,Consumer Defensive,Education & Training Services
GLOBALE,Globale Tessile Limited,,,,,216654112.0,,
GLOBALVECT,Global Vectra Helicorp Limited,,3769.66,,,3378205440.0,Industrials,Airports & Air Services
GLOBE,Globe Textiles (India) Limited,6.025641,124.837,,0.0,813464256.0,Consumer Cyclical,Textile Manufacturing
GLOBUSSPR,Globus Spirits Limited,147.11186,42.423,,-0.991,25523693568.0,Consumer Defensive,Beverages - Wineries & Distilleries
GLOSTERLTD,Gloster Limited,,30.948,,-0.618,6318662144.0,Consumer Cyclical,Textile Manufacturing
GMBREW,GM Breweries Limited,10.299097,,,-0.029,14327302144.0,Consumer Defensive,Beverages - Wineries & Distilleries
GMDCLTD,Gujarat Mineral Development Corporation Limited,11.933684,0.046,,0.264,79541338112.0,Energy,Thermal Coal
GMMPFAUDLR,GMM Pfaudler Limited,42.548546,90.392,,0.309,47285985280.0,Industrials,Specialty Industrial Machinery
GMRAIRPORT,GMR AIRPORTS LIMITED,,,,,785378246656.0,Industrials,Airports & Air Services
GMRP&UI,GMR Power and Urban Infra Limited,4.375218,1174.798,,,71712333824.0,Energy,Thermal Coal
GNA,GNA Axles Limited,13.511566,29.842,,0.13,13289228288.0,Consumer Cyclical,Auto Parts
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,13.755346,0.944,,0.76,70898810880.0,Basic Materials,Chemicals
GOACARBON,Goa Carbon Limited,,113.517,,,3865862144.0,Basic Materials,Specialty Chemicals
GOCLCORP,GOCL Corporation Limited,9.745098,84.833,,4.974,13550643200.0,Basic Materials,Specialty Chemicals
GOCOLORS,Go Fashion (India) Limited,43.67041,75.478,,0.039,37790081024.0,Consumer Cyclical,Apparel Retail
GODAVARIB,Godavari Biorefineries Limited,,171.476,,-0.857,7987550208.0,Basic Materials,Chemicals
GODFRYPHLP,Godfrey Phillips India Limited,29.41184,5.248,,0.492,296211939328.0,Consumer Defensive,Tobacco
GODHA,Godha Cabcon & Insulation Limited,10.75,86.515,,,572966400.0,Industrials,Electrical Equipment & Parts
GODIGIT,Go Digit General Insurance Limited,175.02975,7.501,,1.667,271554871296.0,Financial Services,Insurance - Property & Casualty
GODREJAGRO,Godrej Agrovet Limited,33.329475,72.939,,0.213,138620747776.0,Consumer Defensive,Farm Products
GODREJCP,Godrej Consumer Products Limited,,31.458,,-0.143,1049403719680.0,Consumer Defensive,Household & Personal Products
GODREJIND,Godrej Industries Limited,79.35429,221.402,,0.769,387096576000.0,Industrials,Conglomerates
GODREJPROP,Godrej Properties Limited,37.034042,122.227,,1.545,593063378944.0,Real Estate,Real Estate - Development
GOENKA,Goenka Diamond and Jewels Limited,,,,,307490016.0,Consumer Cyclical,Luxury Goods
GOKEX,Gokaldas Exports Limited,40.82118,29.592,,0.415,61993611264.0,Consumer Cyclical,Apparel Manufacturing
GOKUL,Gokul Refoils and Solvent Limited,43.61765,123.279,3.05,-0.705,4404287488.0,Consumer Defensive,Packaged Foods
GOKULAGRO,Gokul Agro Resources Limited,12.753978,52.573,,1.154,30747961344.0,Consumer Defensive,Packaged Foods
GOLDENTOBC,Golden Tobacco Limited,13.999999,,,,665612608.0,Consumer Defensive,Tobacco
GOLDIAM,Goldiam International Limited,37.165543,0.673,,0.538,41238888448.0,Consumer Cyclical,Luxury Goods
GOLDTECH,AION-TECH SOLUTIONS LIMITED,30.278688,15.359,,,1921724032.0,Technology,Information Technology Services
GOODLUCK,Goodluck India Limited,13.105198,52.432,,0.065,21129445376.0,Basic Materials,Steel
GOPAL,Gopal Snacks Limited,38.463234,1.349,,-0.701,32613713920.0,Consumer Defensive,Packaged Foods
GOYALALUM,Goyal Aluminiums Limited,49.47059,7.887,,0.0,1216086016.0,Basic Materials,Aluminum
GPIL,Godawari Power And Ispat limited,13.46028,0.724,,-0.363,111730278400.0,Basic Materials,Steel
GPPL,Gujarat Pipavav Port Limited,18.256907,2.81,,-0.142,64031559680.0,Industrials,Marine Shipping
GPTHEALTH,GPT Healthcare Limited,22.466227,12.075,,0.035,11189812224.0,Healthcare,Medical Care Facilities
GPTINFRA,GPT Infraprojects Limited,15.354408,23.304,,0.336,11660961792.0,Industrials,Engineering & Construction
GRANULES,Granules India Limited,23.80627,32.014,,-0.064,114262990848.0,Healthcare,Drug Manufacturers - Specialty & Generic
GRAPHITE,Graphite India Limited,20.157536,4.111,,,86287581184.0,Industrials,Electrical Equipment & Parts
GRASIM,Grasim Industries Limited,40.816257,108.535,,-0.42,1555858587648.0,Basic Materials,Building Materials
GRAVITA,Gravita India Limited,38.4608,59.404,,0.299,116799234048.0,Industrials,Metal Fabrication
GREAVESCOT,Greaves Cotton Limited,135.19498,5.333,,-0.641,49995186176.0,Industrials,Specialty Industrial Machinery
GREENLAM,Greenlam Industries Limited,55.236404,111.065,,-0.505,59615330304.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
GREENPANEL,Greenpanel Industries Limited,34.961716,23.825,,-0.755,28014237696.0,Basic Materials,Lumber & Wood Production
GREENPLY,Greenply Industries Limited,30.482,59.963,,-0.097,32804151296.0,Basic Materials,Lumber & Wood Production
GREENPOWER,Orient Green Power Company Limited,54.59091,54.275,,,14099860480.0,Utilities,Utilities - Independent Power Producers
GRINDWELL,Grindwell Norton Limited,45.873875,3.873,,-0.058,169135865856.0,Industrials,Building Products & Equipment
GRINFRA,G R Infraprojects Limited,7.9681787,54.216,,0.077,92778790912.0,Industrials,Engineering & Construction
GRMOVER,GRM Overseas Limited,27.403208,54.074,,-0.156,16425001984.0,Consumer Defensive,Packaged Foods
GROBTEA,The Grob Tea Company Limited,6.2072654,16.199,,-0.739,945439232.0,Consumer Defensive,Farm Products
GRPLTD,GRP Limited,60.609756,69.354,,0.017,14150406144.0,Consumer Cyclical,Auto Parts
GRSE,Garden Reach Shipbuilders & Engineers Limited,37.87707,0.521,,0.113,149301346304.0,Industrials,Aerospace & Defense
GRWRHITECH,Garware Hi-Tech Films Limited,28.818344,0.619,,0.088,89635241984.0,Basic Materials,Specialty Chemicals
GSFC,Gujarat State Fertilizers & Chemicals Limited,12.598973,0.752,,0.131,68478447616.0,Basic Materials,Agricultural Inputs
GSLSU,Global Surfaces Limited,,47.157,,,4426783744.0,Basic Materials,Building Materials
GSPL,Gujarat State Petronet Limited,11.26033,0.914,,-0.407,153747505152.0,Utilities,Utilities - Regulated Gas
GSS,GSS Infotech Limited,11.043352,3.396,,,988144960.0,Technology,Information Technology Services
GTECJAINX,G-TEC JAINX EDUCATION LIMITED,,16.973,,,325541760.0,Consumer Defensive,Education & Training Services
GTL,GTL Limited,1.1241566,,,,1310283904.0,Communication Services,Telecom Services
GTLINFRA,GTL Infrastructure Limited,,,,,19213649920.0,Technology,Communication Equipment
GTPL,GTPL Hathway Limited,24.566963,25.512,,-0.573,12377677824.0,Communication Services,Entertainment
GUFICBIO,Gufic Biosciences Limited,40.012238,51.541,,-0.135,32810952704.0,Healthcare,Drug Manufacturers - Specialty & Generic
GUJALKALI,Gujarat Alkalies and Chemicals Limited,,9.746,,,37900779520.0,Basic Materials,Chemicals
GUJAPOLLO,Gujarat Apollo Industries Limited,32.890724,7.366,,-0.472,3067398400.0,Industrials,Specialty Industrial Machinery
GUJGASLTD,Gujarat Gas Limited,21.005419,1.83,,0.0,266785538048.0,Utilities,Utilities - Regulated Gas
GUJRAFFIA,Gujarat Raffia Industries Limited,18.111113,13.426,,-0.576,,,
GUJTHEM,Gujarat Themis Biosyn Limited,51.268593,1.52,,-0.003,26821701632.0,Healthcare,Drug Manufacturers - Specialty & Generic
GULFOILLUB,Gulf Oil Lubricants India Limited,16.834759,32.131,,0.229,59172675584.0,Basic Materials,Specialty Chemicals
GULFPETRO,GP Petroleums Limited,7.7063656,4.572,,0.032,1913444480.0,Energy,Oil & Gas Refining & Marketing
GULPOLY,Gulshan Polyols Limited,40.368557,73.207,,0.459,9775232000.0,Basic Materials,Chemicals
GVKPIL,GVK Power & Infrastructure Limited,0.9840849,269.261,,,5922050560.0,Utilities,Utilities - Independent Power Producers
GVPTECH,GVP Infotech Limited,52.73333,,,,1288238336.0,Technology,Information Technology Services
GVT&D,GE Vernova T&D India Limited,92.24854,2.768,,1.886,363983634432.0,Industrials,Specialty Industrial Machinery
HAL,Hindustan Aeronautics Limited,26.110168,0.004,,0.142,2271260180480.0,Industrials,Aerospace & Defense
HAPPSTMNDS,Happiest Minds Technologies Limited,45.26049,,15.197,-0.341,100311728128.0,Technology,Information Technology Services
HAPPYFORGE,Happy Forgings Limited,27.398863,8.699,,0.114,72764399616.0,Industrials,Metal Fabrication
HARDWYN,Hardwyn India Limited,45.923077,1.686,,-0.067,5831901696.0,Industrials,Building Products & Equipment
HARIOMPIPE,Hariom Pipe Industries Limited,17.886734,61.068,,0.145,10572224512.0,Basic Materials,Steel
HARRMALAYA,Harrisons  Malayalam Limited,2404.625,68.868,,0.677,3550265088.0,Consumer Defensive,Farm Products
HARSHA,Harsha Engineers International Limited,26.951132,14.792,,-0.101,34728763392.0,Industrials,Tools & Accessories
HATHWAY,Hathway Cable & Datacom Limited,25.384617,0.367,,-0.385,23365318656.0,Communication Services,Entertainment
HATSUN,Hatsun Agro Product Limited,67.1307,142.891,,-0.287,193467645952.0,Consumer Defensive,Packaged Foods
HAVELLS,Havells India Limited,65.35171,4.247,,-0.035,914489016320.0,Industrials,Electrical Equipment & Parts
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,,142.998,,,558149696.0,Consumer Cyclical,Lodging
HBLENGINE,HBL Engineering Limited,36.903915,4.609,,-0.187,114980487168.0,Industrials,Conglomerates
HBSL,HB Stockholdings Limited,,0.674,,,536752000.0,Financial Services,Capital Markets
HCC,Hindustan Construction Company Limited,12.293479,846.592,,,41154375680.0,Industrials,Engineering & Construction
HCG,Healthcare Global Enterprises Limited,120.618935,172.045,,0.195,69276327936.0,Healthcare,Medical Care Facilities
HCL-INSYS,HCL Infosystems Limited,,,,,4240227072.0,Technology,Electronics & Computer Distribution
HCLTECH,HCL Technologies Limited,24.392086,8.553,24.922000999999998,0.053,4159586697216.0,Technology,Information Technology Services
HDFCAMC,HDFC Asset Management Company Limited,33.78469,,,0.31,796400287744.0,Financial Services,Asset Management
HDFCBANK,HDFC Bank Limited,19.083082,,14.902999999999999,0.015,13058731671552.0,Financial Services,Banks - Regional
HDFCLIFE,HDFC Life Insurance Company Limited,76.93449,12.337,11.652,0.146,1339622686720.0,Financial Services,Insurance - Life
HDIL,Housing Development and Infrastructure Limited,,,,,1312991104.0,Real Estate,Real Estate - Diversified
HEADSUP,Heads UP Ventures Limited,,,,,283541280.0,Consumer Cyclical,Apparel Retail
HECPROJECT,HEC Infra Projects Limited,26.047745,122.739,,-0.622,995571200.0,Industrials,Engineering & Construction
HEG,HEG Limited,34.830288,12.7,,0.908,77229801472.0,Industrials,Electrical Equipment & Parts
HEIDELBERG,HeidelbergCement India Limited,41.97174,10.64,,-0.835,43807776768.0,Basic Materials,Building Materials
HEMIPROP,Hemisphere Properties India Limited,,18.061,,,34000472064.0,Real Estate,Real Estate - Diversified
HERANBA,Heranba Industries Limited,19.380995,26.253,,,8594883584.0,Basic Materials,Agricultural Inputs
HERCULES,Hercules Hoists Limited,13.4824915,,,-0.738,4468796928.0,Industrials,Specialty Industrial Machinery
HERITGFOOD,Heritage Foods Limited,18.183146,16.074,,0.6,34654666752.0,Consumer Defensive,Packaged Foods
HEROMOTOCO,Hero MotoCorp Limited,17.035866,3.073,,0.013,705868857344.0,Consumer Cyclical,Auto Manufacturers
HESTERBIO,Hester Biosciences Limited,36.630554,77.653,,1.835,11504677888.0,Healthcare,Drug Manufacturers - Specialty & Generic
HEUBACHIND,Heubach Colorants India Limited,28.739473,5.269,,1.693,13401279488.0,Basic Materials,Specialty Chemicals
HEXATRADEX,Hexa Tradex Limited,,0.946,,-0.109,10634604544.0,Financial Services,Credit Services
HEXT,Hexaware Technologies Limited,,10.723,23.504,0.65,460905807872.0,Technology,Information Technology Services
HFCL,HFCL Limited,30.411766,28.689,,-0.121,111944982528.0,Technology,Communication Equipment
HGINFRA,H.G. Infra Engineering Limited,11.919145,90.974,,0.128,65395974144.0,Industrials,Engineering & Construction
HGS,Hinduja Global Solutions Limited,,27.744,,,22708869120.0,Industrials,Specialty Business Services
HIKAL,Hikal Limited,63.656715,64.434,,0.061,47329091584.0,Healthcare,Drug Manufacturers - Specialty & Generic
HIL,HIL Limited,,73.619,,,13452965888.0,Industrials,Building Products & Equipment
HILTON,Hilton Metal Forging Limited,73.333336,57.331,,-0.81,1668719360.0,Industrials,Metal Fabrication
